BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
1988429,"Net shore-drift in Washington State. Vol. 5, Northern bays and straits region.",,,[1991],"Shorelands and Environmental Assistance Program, Washington Dept. of Ecology,","Littoral drift Washington State Skagit County, Littoral drift Washington State Whatcom County, Sediment transport Washington State Skagit County, Sediment transport Washington State Whatcom County, Shorelines Washington State Skagit County, Shorelines Washington State Whatcom County, Seashore Washington State Skagit County, Seashore Washington State Whatcom County",arbk,caref,NA,cen,2018-03-01T00:00:00.000,1
2935880,If I built a house / Chris Van Dusen.,"Van Dusen, Chris","0803737513, 9780803737518",[2012],"Dial Books for Young Readers,","Stories in rhyme Juvenile fiction, Dwellings Juvenile fiction, Imagination Fiction, Imagination in children Juvenile fiction",jcbk,ncpic,NA,cap,2018-03-01T00:00:00.000,1
3304258,Mechanical failure / Joe Zieja.,"Zieja, Joseph","1481459260, 1481459279, 9781481459266, 9781481459273",[2016],"Saga Press,","Outer space Fiction, War fiction, Science fiction",acbk,nanew,NA,wts,2018-03-01T00:00:00.000,1
2875471,I said no! : a kid-to-kid guide to keeping private parts private / by Zack and Kimberly King ; illustrated by Sue Ramá ; prologue by Chip St. Clair ; preface by Sandra L. Caron.,"King, Zack","1878076493, 9781878076496",2012.,"Boulden Publishing,","Child sexual abuse Prevention Juvenile literature, Children and strangers Juvenile literature, Human body Juvenile literature, Sex crimes Prevention Juvenile literature, Sexual abuse, Strangers",jcbk,ncenf,NA,net,2018-03-01T00:00:00.000,1
2603064,The Mercy Watson collection. Volume 3 / Kate DiCamillo.,"DiCamillo, Kate","0739360507, 9780739360507",[2009],"Listening Library,","Watson Mercy Fictitious character Juvenile fiction, Pigs Fiction, Swine Juvenile fiction",jccd,ncbocd,Floating,wts,2018-03-01T00:00:00.000,1
3092470,Gill Landry.,"Landry, Gill",,[2015],"ATO Records,",Popular music 2011 2020,accd,cacd,NA,cen,2018-03-01T00:00:00.000,1
2636767,Managing off-site staff for small business / Lin Grensing-Pophal.,"Grensing-Pophal, Lin, 1959-","155180865X, 9781551808659",2010.,"Self-Counsel Press,","Telecommuting, Small business Management",acbk,canf,NA,cen,2018-03-01T00:00:00.000,2
1939993,"Encyclopedia of historians and historical writing / editor, Kelly Boyd.",,1884964338,1999.,"Fitzroy Dearborn,","Historians Biography Dictionaries, History Bibliography",arbk,caref,NA,cen,2018-03-01T00:00:00.000,2
3083198,The Regal years (1997-2004) / the Beta Band.,Beta Band,,[2013],"Regal,","Rock music 1991 2000, Rock music 2001 2010",accd,naover,NA,bal,2018-03-01T00:00:00.000,1
2496963,"Dinosaurios con plumas / por ""Dino"" Don Lessem ; ilustraciones por John Bindon.","Lessem, Don","0822562421, 9780822562429",[2007],"Ediciones Lerner,","Dinosaurs Juvenile literature, Birds Fossil Juvenile literature, Birds Origin Juvenile literature, Spanish language materials",jcbk,ncln,NA,spa,2018-03-01T00:00:00.000,1
3086932,"The great wide open : new outdoor and landscape photography / edited by Jeffrey Bowman, Sven Ehmann, and Robert Klanten ; preface and stories by Jeffrey Bowman.",,"3899555554, 9783899555554",2015.,"Gestalten Verlag,","Landscape photography, Outdoor photography",acbk,naover,NA,lcy,2018-03-01T00:00:00.000,1
2507531,No choice but seduction / Johanna Lindsey.,"Lindsey, Johanna","1410408019, 9781410408013",2008.,"Thorndike Press,","Malory family Fictitious characters Fiction, Aristocracy Social class Fiction, Kidnapping Fiction, Americans England Fiction, Large type books, Regency fiction, Love stories",acbk,cs1malf,NA,cen,2018-03-01T00:00:00.000,1
2758752,The Wizard of Dark Street : an Oona Crate mystery / Shawn Thomas Odyssey.,"Odyssey, Shawn Thomas","1606841432, 9781606841433",2011.,"Egmont USA,","Wizards Juvenile fiction, Magic Fiction, Apprentices Juvenile fiction, Uncles Juvenile fiction, Orphans Juvenile fiction, Mystery and detective stories",jcbk,ncfic,NA,cap,2018-03-01T00:00:00.000,1
3146010,Pushout : the criminalization of Black girls in schools / Monique W. Morris.,"Morris, Monique W., 1972-","1620970945, 9781620970942",2015.,"The New Press,","African American girls Education, African American girls Social conditions, Discrimination in education United States",acbk,nanf,NA,bal,2018-03-01T00:00:00.000,1
3331776,Summer / by Harriet Brundle.,"Brundle, Harriet","1499484038, 1499484151, 9781499484038, 9781499484151",2018.,"Windmill Books,","Summer Juvenile literature, Seasons Juvenile literature",jcbk,ccnf,NA,cen,2018-03-01T00:00:00.000,3
3211833,Good wish gone bad / Shana Muldoon Zappa and Ahmet Zappa ; with Alexa Young.,"Zappa, Shana Muldoon","1484753518, 9781484753514",2016.,"Disney Press,","Wishes Juvenile fiction, Stars Juvenile fiction, Schools Juvenile fiction",jcbk,ncfic,NA,idc,2018-03-01T00:00:00.000,1
